timesteps,lambda_rate,episode_reward,tardiness
33474,0.12,-167.31582968706675,611
33474,0.12,-172.9667293079438,605
33474,0.12,-167.865647768415,619
34959,0.12,-53.982443836256806,57
34959,0.12,-61.33009059830583,85
34959,0.12,-62.03284429897391,91
36504,0.12,-43.989768869222814,43
36504,0.12,-39.838275682862516,44
36504,0.12,-49.717365264436815,44
38001,0.12,-250.3089464376818,1056
38001,0.12,-259.00331503176477,1048
38001,0.12,-252.21164804233342,1113
39525,0.12,-256.72505695046976,1423
39525,0.12,-276.14141323772276,1605
39525,0.12,-255.03514137219085,1434
41067,0.12,-105.7682759391941,212
41067,0.12,-120.78073222763258,283
41067,0.12,-121.26070171291396,252
42555,0.12,-155.01097308812302,349
42555,0.12,-164.35011231279182,411
42555,0.12,-182.74391078429423,382
44004,0.12,-194.77434683841298,565
44004,0.12,-183.08410047564718,542
44004,0.12,-197.74042104349346,565
45465,0.12,-28.452647718845814,25
45465,0.12,-26.899024722563734,23
45465,0.12,-27.50530335160104,40
46917,0.12,-0.8950101783403831,1
46917,0.12,-3.4759785246247836,4
46917,0.12,0.0,0
48399,0.12,-97.05029976813528,205
48399,0.12,-87.4628836980637,201
48399,0.12,-100.60277409723555,209
49941,0.12,-73.7318570105694,116
49941,0.12,-65.39717737437216,113
49941,0.12,-64.84848126080078,107
51447,0.12,-159.2688459455697,460
51447,0.12,-182.91410171846704,501
51447,0.12,-171.74666020591653,483
52860,0.12,-1.3466646689179218,1
52860,0.12,0.0,0
52860,0.12,0.0,0
54330,0.12,-1.0272209164230826,1
54330,0.12,-3.5076934635843324,2
54330,0.12,0.0,0
55821,0.12,-265.97929299520155,1290
55821,0.12,-270.78824426808546,1345
55821,0.12,-262.3445414717062,1282
57270,0.12,0.0,0
57270,0.12,0.0,0
57270,0.12,0.0,0
58797,0.12,-249.9302363798863,1058
58797,0.12,-251.9222311957395,1073
58797,0.12,-249.59494366256334,1028
60261,0.12,-4.5272307403967,14
60261,0.12,0.0,0
60261,0.12,-6.932595071669986,5
61791,0.12,-97.62236166214011,249
61791,0.12,-112.36876257547058,284
61791,0.12,-88.7170723763691,212
63315,0.12,-239.8387207961839,1127
63315,0.12,-234.4845942527676,1112
63315,0.12,-235.86554323698135,1145
64803,0.12,-3.8341236171775943,4
64803,0.12,-11.343363248372945,9
64803,0.12,-10.392637445870921,11
66273,0.12,-134.62488561572482,285
66273,0.12,-142.79483878861882,284
66273,0.12,-146.3321485237201,260
67698,0.12,0.0,0
67698,0.12,0.0,0
67698,0.12,0.0,0
69210,0.12,-42.98962902765088,56
69210,0.12,-46.33013515921484,65
69210,0.12,-61.755633017850876,76
70650,0.12,-53.84010039457692,73
70650,0.12,-53.654879507265186,72
70650,0.12,-50.42619435842183,73
72108,0.12,-14.304302786727757,14
72108,0.12,-18.061841425482566,14
72108,0.12,-14.662308381175958,5
73548,0.12,-107.80739221484654,204
73548,0.12,-95.4617109586596,181
73548,0.12,-102.92786996586955,154
75036,0.12,-11.061577578244522,10
75036,0.12,-3.048051426757946,3
75036,0.12,0.0,0
76545,0.12,-189.30104578941797,569
76545,0.12,-182.9999543930884,565
76545,0.12,-200.46552659448943,660
77973,0.12,-3.6959707592944797,4
77973,0.12,0.0,0
77973,0.12,0.0,0
79503,0.12,-74.52399928305097,154
79503,0.12,-74.36244411840745,130
79503,0.12,-75.97912525099945,140
80976,0.12,0.0,0
80976,0.12,0.0,0
80976,0.12,0.0,0
