timesteps,lambda_rate,episode_reward,tardiness
29250,0.05,-76.39096308281998,438
29500,0.05,-83.75473926276656,490
29750,0.05,-83.2376199346,562
30000,0.05,-89.0916173543024,560
30250,0.05,-77.53085513072466,458
30500,0.05,-92.7683993195348,626
30750,0.05,-74.84558526553727,431
31000,0.05,-73.61701700663261,519
31250,0.05,-72.48796837932738,558
31500,0.05,-71.09383984022249,471
31750,0.05,-84.28816418162174,495
32000,0.05,-79.24033211382505,453
32250,0.05,-78.6030289223342,515
32500,0.05,-72.6671574794382,447
32750,0.05,-84.22233060116439,574
33000,0.05,-84.69471672000894,464
33250,0.05,-80.29312267392444,550
33500,0.05,-78.770028012748,467
33750,0.05,-78.9478586218208,431
34000,0.05,-77.16205911978871,476
34250,0.05,-70.27238828631317,401
34500,0.05,-66.10739722027604,393
34750,0.05,-82.7001798329224,535
35000,0.05,-71.1094506945095,436
35250,0.05,-73.73529756087906,464
35500,0.05,-84.70476688309205,597
35750,0.05,-88.77227447191306,439
36000,0.05,-91.21523875975411,589
36250,0.05,-72.68690377069379,486
36500,0.05,-69.39377940873355,416
36750,0.05,-73.68832461917827,447
37000,0.05,-73.39147708815699,477
37250,0.05,-76.97967747259179,418
37500,0.05,-86.07463050566514,549
37750,0.05,-71.25328899905956,425
38000,0.05,-86.533029768629,443
38250,0.05,-69.7425401338297,381
38500,0.05,-78.20801728335228,540
38750,0.05,-83.11343292723309,528
39000,0.05,-78.30988868151366,458
39250,0.05,-74.18263424100718,400
39500,0.05,-91.55666674466866,558
39750,0.05,-69.47038082879973,408
40000,0.05,-87.12286791530983,526
40250,0.05,-88.16202246778703,524
40500,0.05,-74.86125577746616,472
40750,0.05,-85.53446005588077,477
41000,0.05,-70.6755436360436,430
41250,0.05,-77.62649168142394,467
41500,0.05,-79.3740837399524,439
41750,0.05,-85.65114923631623,554
42000,0.05,-80.82013824995735,428
42250,0.05,-77.40413166027051,489
42500,0.05,-77.38900342279415,524
42750,0.05,-77.69775171427658,512
43000,0.05,-85.94603202584858,455
43250,0.05,-79.40642663071004,585
43500,0.05,-73.79085473884359,459
43750,0.05,-76.13472910847243,480
44000,0.05,-69.90391156988001,392
44250,0.05,-68.11649569108255,411
44500,0.05,-70.36102583275742,443
44750,0.05,-70.71365645639698,485
45000,0.05,-69.28677967331818,376
45250,0.05,-85.04656517543609,487
45500,0.05,-71.91087975544924,395
45750,0.05,-93.4117656643793,674
46000,0.05,-80.27272894712856,493
46250,0.05,-81.07482674114053,479
46500,0.05,-83.3168937456177,577
46750,0.05,-88.2268689550965,466
47000,0.05,-80.59109160228964,479
47250,0.05,-83.44456080458671,423
47500,0.05,-76.78185404008211,456
47750,0.05,-81.66129701346185,416
48000,0.05,-91.19125366984636,573
48250,0.05,-82.6700370294704,523
48500,0.05,-76.72434100586754,531
48750,0.05,-86.11993087026303,576
49000,0.05,-78.01071151317676,505
49250,0.05,-62.04162681135937,409
49500,0.05,-80.95371595381481,469
49750,0.05,-83.4026708939032,509
50000,0.05,-81.68495843043436,537
50250,0.05,-75.1373184269775,411
50500,0.05,-91.44005396294885,706
50750,0.05,-74.95054398620867,519
51000,0.05,-73.31270569168979,435
51250,0.05,-81.1069027543458,470
51500,0.05,-75.20253112279555,498
51750,0.05,-71.64611597523759,428
52000,0.05,-58.788514313350134,425
52250,0.05,-72.28797025983178,384
52500,0.05,-76.14893159815033,552
52750,0.05,-72.56383047190343,431
53000,0.05,-67.7997028691308,423
53250,0.05,-81.01327512633561,423
53500,0.05,-86.48970999301919,635
53750,0.05,-71.72378396269107,446
54000,0.05,-77.01346684449172,457
54250,0.05,-83.93081468833022,477
54500,0.05,-91.07186292059292,505
54750,0.05,-79.09638486481975,411
55000,0.05,-68.1211504829377,410
55250,0.05,-84.57157061712678,568
55500,0.05,-72.46660492803355,395
55750,0.05,-64.11739249173634,414
56000,0.05,-66.91090535130759,399
56250,0.05,-80.8865408008651,396
56500,0.05,-73.60293563126002,403
56750,0.05,-77.8164839673267,509
57000,0.05,-85.21538148410018,519
57250,0.05,-82.36053751623412,591
57500,0.05,-76.05109973811058,478
57750,0.05,-81.93273163704639,493
58000,0.05,-68.21114698248927,427
58250,0.05,-69.41156749711743,421
58500,0.05,-79.94542939465603,509
58750,0.05,-74.40261152727817,443
59000,0.05,-68.07482848272137,531
59250,0.05,-89.03522623905698,516
59500,0.05,-81.64793349466828,491
59750,0.05,-76.19854737013883,471
60000,0.05,-77.04610627807261,438
60250,0.05,-72.81373130067122,474
60500,0.05,-57.55209486383994,320
