timesteps,episode_reward,tardiness
337212,-188.5903047004793,1015
338181,-189.49279986236294,1022
339150,-178.9231141245565,920
340119,-193.62087460784068,998
341088,-190.35598288701289,1043
342057,-199.61197061852076,986
343026,-192.88618357301857,1078
343995,-192.1690187747043,1017
344964,-188.76248296304277,969
345933,-189.79141832061518,1006
346902,-191.0052501480142,943
347871,-186.8874075224753,972
348840,-188.4452143365016,925
349809,-200.73161220896137,1005
350778,-194.42631655470868,964
351747,-196.03257276683792,973
352716,-193.40226347952756,1086
353685,-184.2716721136706,900
354654,-185.4050296320116,918
355623,-199.4523388220595,1052
356592,-190.75969778505637,949
357561,-196.80742742725698,1006
358530,-190.07665789755893,991
359499,-180.39778292807367,949
360468,-197.53972707661865,1020
361437,-191.85232513596534,997
362406,-193.89542903203716,980
363375,-178.9582838720318,1031
364344,-200.16806173378285,955
365313,-198.06504552581146,1015
366282,-193.3097664348809,949
367251,-196.06171248625813,981
368220,-195.29011185004387,983
369189,-195.56091831937275,998
370158,-189.3200519107962,1018
371127,-192.7317670861375,1027
372096,-189.40739876386422,1000
373065,-190.7432049711705,947
374034,-195.16125430331846,1002
375003,-191.5798447555346,998
375972,-194.56268508155378,990
376941,-186.92038476144887,947
377910,-199.92440955967,959
378879,-193.13878388512174,1059
379848,-201.14982301888202,1007
380817,-197.48345853836557,958
381786,-184.45035087908403,987
382755,-192.00731414083546,982
383724,-193.76595097897464,1008
384693,-200.81929881802301,999
385662,-193.02514682506597,1004
386631,-185.51573627101405,1029
387600,-193.7474521024995,1032
388569,-196.23727398233285,968
389538,-190.76229859639875,1000
390507,-188.0044177395422,974
391476,-200.18242280458506,1049
392445,-190.14032408325184,958
393414,-177.7625532327102,965
394383,-192.29714954165422,971
395352,-195.4765043263656,938
396321,-192.57167378767727,935
397290,-189.5286918071276,971
398259,-187.95177514475196,967
399228,-196.12972620161668,996
400197,-196.78019214774974,1041
401166,-191.07206658141942,924
402135,-185.0592152962599,928
403104,-184.208333106526,984
404073,-187.79270265588866,876
405042,-190.7163348726795,967
406011,-191.09266472950048,970
406980,-200.81566392618865,968
407949,-191.82448613144706,1028
408918,-193.86353813191482,980
409887,-193.8945987737001,1024
410856,-202.71485329795178,1032
411825,-199.9853047488847,1093
412794,-179.91939965013583,1033
413763,-196.6911269607846,921
414732,-201.30152389520472,1033
415701,-190.91281015485714,926
416670,-190.78836996227668,976
417639,-194.99172804896082,997
418608,-199.24780245213037,980
419577,-186.31233353352846,1008
420546,-195.9451801318345,996
421515,-184.76392959690267,909
422484,-189.43734928156195,1011
423453,-194.35113253930646,943
424422,-193.9113709882699,974
425391,-199.81039832164555,1042
426360,-201.62135272998162,1130
427329,-185.7095121788523,1027
428298,-189.23138367831066,1020
429267,-190.9627546286342,1010
430236,-199.69586101043262,1006
431205,-183.49493029414512,973
432174,-186.65473664115123,949
433143,-199.2372796463377,952
434112,-193.53400191921662,912
435081,-184.19951986911195,967
436050,-189.97634019604268,930
437019,-191.29955877228585,965
437988,-195.4259012829455,1083
438957,-196.0947234686361,1033
439926,-195.434715976013,957
440895,-191.95060819642256,970
441864,-191.65041496365916,1032
442833,-192.12859431957642,958
443802,-190.01946632759766,1018
444771,-199.85870306663742,985
445740,-193.05940873051253,937
446709,-191.98614193012565,1058
447678,-191.8874693505547,1047
448647,-189.29713433054835,974
449616,-195.72201544261324,1014
450585,-191.53525449811914,991
451554,-190.10267610607175,912
452523,-197.42357430818663,1014
453492,-181.06552416011425,904
454461,-191.61310981369016,1005
455430,-194.0045359818634,983
456399,-197.94422314229976,926
457368,-194.62307690720763,1044
458337,-189.3392972113998,930
459306,-181.10593199799408,951
460275,-196.65370223785703,985
461244,-183.3090966824458,967
462213,-194.31393354140337,959
463182,-190.98492533606145,1020
464151,-184.28641740573676,975
465120,-184.0588084869818,1016
466089,-192.96625308237185,1012
467058,-191.7481644827385,989
468027,-194.25736305741086,940
468996,-197.719941113583,1020
469965,-195.02369433686283,989
470934,-190.4069494827819,1013
471903,-200.56480623378062,995
472872,-194.52597456487274,993
473841,-193.11032104987925,1021
474810,-190.2875813783441,927
475779,-193.52554032963144,983
476748,-186.46784949320994,966
477717,-190.1138632524692,942
478686,-191.6779358062771,963
479655,-192.51434501314108,934
480624,-193.6823127689983,1030
481593,-193.91213631602818,966
482562,-197.89684475550445,996
483531,-189.10785507942236,968
484500,-197.6291082865408,973
485469,-200.7047584506082,1001
486438,-189.00459656754254,951
487407,-194.2409517668069,1048
488376,-191.70104572237526,933
489345,-197.20328021230048,983
490314,-200.8443382975277,984
491283,-199.01207196350475,1023
492252,-197.16210668618834,1010
493221,-191.58516229370719,974
494190,-181.57790783939305,927
495159,-197.89008332179662,1021
496128,-198.82678721363285,1027
497097,-194.60714675042325,973
498066,-195.841266966832,1029
499035,-187.8280915466581,988
500004,-197.22055600571974,973
500973,-197.71010068817978,984
501942,-192.39630048246545,918
502911,-194.89611299921577,973
503880,-187.81440623400468,945
504849,-201.5234398367475,949
505818,-198.14363855073088,911
506787,-201.3311256574098,959
507756,-188.94990473600183,905
508725,-197.3334990804761,1035
509694,-199.1156554123378,1002
510663,-191.37113087724492,1039
511632,-193.92333553030863,922
512601,-199.8368751721074,942
513570,-186.186684994994,926
514539,-199.62776868536207,1007
515508,-195.6463597507414,993
516477,-199.09302535724174,992
517446,-204.41765412717587,992
518415,-198.91704006561773,1004
519384,-197.72622523645174,972
520353,-199.76105521002236,1031
521322,-198.33143400720905,903
522291,-192.04011602853512,981
523260,-194.31430554202996,934
524229,-199.4031299762374,934
525198,-188.04884716977563,930
526167,-187.76384852122032,1000
527136,-187.14622225431532,986
528105,-201.19473247347452,990
529074,-193.4135936207446,998
530043,-188.4909344756379,953
531012,-197.7178984046895,1001
531981,-197.02702642592945,979
532950,-194.55829084517882,1002
533919,-200.97054020152785,1027
534888,-191.8221999447806,990
535857,-195.90472411052806,961
536826,-201.9948901467147,1031
537795,-193.53501765789954,988
538764,-192.36825807598487,972
539733,-199.59845370871412,1003
540702,-199.2720826755602,907
541671,-192.85029821419866,984
542640,-189.6418244118502,988
543609,-201.1676246784512,985
544578,-187.57907185675404,890
545547,-201.65031602632558,1025
546516,-186.17407602755085,956
547485,-196.5486457566869,952
548454,-200.6791092198662,1001
549423,-202.37489650724663,943
550392,-197.77204971273275,976
551361,-183.94155317814057,968
552330,-192.2647445517556,945
553299,-202.7799537756755,1013
554268,-192.1612164788555,982
555237,-185.07073464342074,992
556206,-194.67757425971027,924
557175,-200.04624787343317,1007
558144,-193.77292412638977,977
559113,-188.45399339871983,1004
560082,-196.51408883634988,1046
561051,-190.25763653827502,978
562020,-195.02333102997858,1010
562989,-197.5929785843478,1013
563958,-195.3190172353446,995
564927,-191.03082288430335,1015
565896,-195.7458887432289,974
566865,-196.73320932058292,940
567834,-187.43757413257566,983
568803,-190.7837964574403,976
569772,-192.60908212322312,966
570741,-198.86008366270372,985
571710,-196.09666565222238,967
572679,-195.29312458705937,958
573648,-198.59167922037724,987
574617,-193.71202882371526,929
575586,-200.4159990112532,976
576555,-204.68435149589104,978
577524,-201.34036667211447,985
578493,-203.93388511578857,971
579462,-193.79537981300248,964
580431,-199.67352567580167,938
581400,-196.19318453158,1011
582369,-194.07851463234522,932
583338,-185.40330433149873,920
584307,-201.2090379984702,985
585276,-196.59945503447327,983
586245,-205.02762545117977,1054
587214,-195.69869343716124,946
588183,-189.61688610482554,938
589152,-200.23634612122854,968
590121,-199.24293414391036,923
591090,-187.02723832149405,951
592059,-190.30001777549376,963
593028,-192.90498087783146,977
593997,-200.82955130760106,996
594966,-195.48103697460664,980
595935,-199.34690926975443,958
596904,-203.30233440031915,993
597873,-197.60762423013745,986
598842,-202.93769171945365,974
599811,-199.4470960734026,992
600780,-201.68114939383906,996
601749,-188.35536132238408,932
602718,-200.09802460983775,941
603687,-194.5082289958339,948
604656,-198.17305773371413,962
605625,-194.79912809989742,950
606594,-190.9773275880649,924
607563,-191.76861827556047,961
