timesteps,lambda_rate,episode_reward,tardiness
45471,0.11,-17.542829144695045,9
46467,0.1,0.0,0
46917,0.12,-10.419331781269474,16
47727,0.11,-187.44741082393958,392
48399,0.12,-96.12430205442325,204
49464,0.1,-48.73207711807177,88
49938,0.11,-157.16646300558983,349
49941,0.12,-63.98583150910878,98
51447,0.12,-175.8796175071652,468
52167,0.11,-122.35040373649184,224
52416,0.1,-34.630830391527645,28
52860,0.12,-5.229399987351758,1
54330,0.12,0.0,0
54390,0.11,-6.0809639472397405,3
55380,0.1,-113.52194570915829,186
55821,0.12,-272.0443814098075,1314
56544,0.11,-158.22179627600076,289
57270,0.12,-3.337558776349382,2
58344,0.1,-126.44913019168625,306
58791,0.11,-246.45373541164471,1236
58797,0.12,-258.89371661743377,1035
60261,0.12,0.0,0
61029,0.11,-39.40602358013559,68
61182,0.1,-3.041690689915604,1
61791,0.12,-89.60193922770291,230
63276,0.11,-112.27434306115445,152
63315,0.12,-238.2219618958658,1136
64071,0.1,-32.34365343630152,24
64803,0.12,-15.270134223974473,18
65442,0.11,-93.72619526960631,319
66273,0.12,-117.37582928427832,226
67011,0.1,-69.06815924115217,124
67650,0.11,-38.4511902409709,56
67698,0.12,0.0,0
69210,0.12,-53.088923516093516,96
69870,0.11,-11.567142784152416,12
69882,0.1,0.0,0
70650,0.12,-49.764525969634725,71
72075,0.11,-45.634457536607165,57
72108,0.12,-30.136338647020366,26
72900,0.1,-3.567772362280686,3
73548,0.12,-101.52642981402886,198
74307,0.11,-42.10434073111412,35
75036,0.12,-8.804672419430386,8
75813,0.1,-89.18051467957278,299
76458,0.11,-156.10609845171564,345
76545,0.12,-191.69316163084514,618
77973,0.12,-3.300382643551573,2
78597,0.11,-7.465194692333832,5
78783,0.1,-147.68382370267543,486
79503,0.12,-68.57062571637337,126
80775,0.11,0.0,0
80976,0.12,0.0,0
81708,0.1,-17.70234627122824,22
82392,0.12,-23.113206542820826,27
82953,0.11,-319.40330628991114,964
83856,0.12,-174.67118467014572,394
84705,0.1,-29.062251338009432,20
85074,0.11,0.0,0
85314,0.12,-119.93784783163643,369
86811,0.12,-265.23344055081554,1339
87234,0.11,-204.07943914384597,621
87717,0.1,-75.02269471259716,154
88302,0.12,-43.74408149922876,95
89286,0.11,-28.19053057341302,40
89847,0.12,0.0,0
90639,0.1,-13.32417090128359,13
91314,0.12,-22.352384440510644,14
91470,0.11,-37.086441387587904,22
92769,0.12,-182.44217995874277,374
93498,0.1,0.0,0
93786,0.11,-407.60369905708586,1821
94203,0.12,-39.11747252448364,47
95739,0.12,-91.43096723948189,196
96036,0.11,0.0,0
96330,0.1,-19.863915435582868,19
97194,0.12,-91.51385011574902,284
98277,0.11,-14.96026263820495,10
98718,0.12,-9.058498609074155,14
99321,0.1,-9.692764090407664,6
100254,0.12,-15.668121522491955,19
100542,0.11,-25.14043567752592,43
101724,0.12,-54.64057275700204,63
102270,0.1,-0.8097598133463382,1
102777,0.11,-24.783410775108837,12
103170,0.12,0.0,0
104628,0.12,-171.4542379345262,475
104955,0.11,-7.436830972921685,14
105144,0.1,0.0,0
106149,0.12,-127.01829439902542,394
107169,0.11,-37.368792342978956,21
107667,0.12,-290.8587419783118,1643
108114,0.1,0.0,0
109098,0.12,0.0,0
109380,0.11,-18.23862426820845,13
110511,0.12,-5.9274536512390945,8
111063,0.1,-172.2374676181721,330
111555,0.11,-8.22780163037627,3
111987,0.12,-2.618322110680502,1
113457,0.12,-3.057084342648245,1
113754,0.11,-104.20454877170806,258
113883,0.1,0.0,0
115011,0.12,-37.6634111317767,42
116037,0.11,-52.76976415303383,64
116490,0.12,-27.937746952804563,37
116739,0.1,-13.254406698592435,20
118023,0.12,0.0,0
118290,0.11,-58.900857247731295,117
119517,0.12,-196.09744487323994,558
119565,0.1,-62.20671819129222,127
120489,0.11,-8.012999446955803,8
120915,0.12,-230.68976420543112,918
122376,0.12,-72.20674352088395,153
122457,0.1,0.0,0
122721,0.11,-21.413093444763113,30
123849,0.12,-41.444367666138085,37
124989,0.11,-179.0606093015266,369
125301,0.12,-79.1202585994366,153
125508,0.1,-422.37472588970974,1203
126708,0.12,0.0,0
127167,0.11,-74.96959889917059,119
128181,0.12,-154.2325782684329,318
128544,0.1,-10.842684567290139,13
129420,0.11,-398.80066633957483,1785
